kw,count,%_Human_Min,%_Human_Mean,%_Human_Max,%_AI_Min,%_AI_Mean,%_AI_max
/lh meaning,15,0.0,63.6,99.9,0.0,15.3,56.5
2 pole breaker,8,0.0,57.5,100.0,0.0,15.3,74.8
205/75r14 trailer tire,7,0.0,42.2,97.5,0.0,21.4,78.5
21 lessons for the 21st century,11,0.0,77.6,100.0,0.0,7.1,42.8
3 subject notebook,8,0.0,39.5,100.0,0.0,10.5,70.6
3d scanner,17,0.0,83.7,100.0,0.0,10.8,48.7
4k projector,16,0.0,81.2,99.9,0.0,12.9,35.4
707 street,6,0.0,33.4,99.9,0.0,21.2,99.3
8th anniversary,17,3.1,84.4,100.0,0.0,15.6,96.9
8th year anniversary gift,19,22.3,89.5,100.0,0.0,10.5,77.7
9 year anniversary gift traditional and modern,16,0.0,82.8,100.0,0.0,11.3,71.4
a breath of snow and ashes,15,0.0,58.9,99.9,0.0,24.5,97.7
ab lounge,9,0.0,64.0,100.0,0.0,5.2,27.0
acid reflux treatment at home,18,49.9,92.1,100.0,0.0,7.9,50.1
aconite,16,0.0,81.5,100.0,0.0,7.4,50.7
activewear sets,11,0.0,68.6,100.0,0.0,16.0,97.9
adapalene and benzoyl peroxide gel,13,0.0,55.8,99.2,0.0,25.4,97.4
adhd and bipolar,19,50.5,85.3,99.9,0.1,14.7,49.5
adjustable facemask,17,0.0,64.4,99.2,0.0,20.6,94.5
advair inhaler,16,0.0,61.3,99.0,0.0,27.6,85.8
affordable wardrobe,10,0.0,68.3,100.0,0.0,15.1,94.0
affresh washing machine cleaner,4,0.0,62.2,99.8,0.0,4.4,14.1
afrobulk,9,0.0,33.4,98.2,0.0,30.9,99.9
agave plants,19,0.0,89.1,100.0,0.0,5.9,73.7
air duct cleaning,19,3.4,86.3,100.0,0.0,13.7,96.6
airsoft glock 18,18,0.0,71.9,99.7,0.0,22.8,99.4
aklief cream,14,0.0,62.6,97.8,0.0,30.8,97.4
aldactone,16,0.0,73.4,98.0,0.0,20.7,55.0
alkaline diet foods,17,60.0,90.5,100.0,0.0,9.5,40.0
all the queen's men,9,0.0,67.8,99.4,0.0,14.0,51.8
almond flour nutrition,11,0.0,69.1,99.7,0.0,15.5,99.9
almond milk nutrition facts,12,0.0,73.7,99.9,0.0,12.0,99.9
anillos de matrimonio,10,0.0,50.0,100.0,0.0,8.9,55.8
anime merch,9,0.0,30.9,99.2,0.0,25.4,99.9
ankle swelling causes,19,0.0,81.4,100.0,0.0,13.6,63.4
antherium,10,0.0,70.8,99.1,0.0,12.5,69.0
anthurium flower,18,0.0,92.6,99.9,0.0,2.1,11.0
are bananas good for dogs,20,17.2,89.6,100.0,0.0,10.4,82.8
are jalapenos good for you,20,16.9,85.7,100.0,0.0,14.3,83.1
are sesame seeds good for you,20,15.9,87.8,100.0,0.0,12.2,84.1
arnica cream,16,0.0,79.4,99.8,0.0,9.5,73.5
arnica montana,17,0.0,81.0,100.0,0.0,13.5,70.8
arthritis in feet,18,0.0,85.4,100.0,0.0,9.3,94.8
arthritis in neck,19,53.2,94.0,100.0,0.0,6.0,46.8
asystole meaning,15,0.0,73.2,100.0,0.0,10.1,56.5
auto upholstery,9,0.0,74.4,100.0,0.0,15.6,82.7
autumn joy sedum,17,0.0,77.1,100.0,0.0,12.4,48.9
avacado,5,0.0,30.8,99.7,0.0,10.8,64.1
average cost to finish a basement,18,80.6,95.0,100.0,0.0,5.0,19.4
avocado tree indoor,16,53.1,93.3,100.0,0.0,6.7,46.9
b12 vitamin benefits,18,0.0,79.5,99.9,0.0,15.2,78.8
baby blanket,9,0.0,59.5,100.0,0.0,9.8,46.8
baby chickens,18,0.0,76.6,100.0,0.0,13.4,85.8
baby nail clippers,13,0.0,62.6,100.0,0.0,9.6,58.2
baby's growth chart,19,48.4,87.4,100.0,0.0,12.6,51.6
babygirl nursery,15,0.0,78.7,99.9,0.0,15.1,70.1
backyard decor ideas,16,73.9,97.2,100.0,0.0,2.8,26.1
backyard fireplace,12,0.0,75.8,100.0,0.0,10.0,49.9
backyard umbrella,10,0.0,66.9,99.9,0.0,16.4,69.0
baclofen 20 mg,17,0.0,72.1,99.7,0.0,22.3,76.1
bad acne,17,62.0,90.9,99.7,0.3,9.1,38.0
bad cramps no period,20,64.8,91.3,100.0,0.0,8.7,35.2
bad news bears,12,0.0,75.5,100.0,0.0,10.2,49.4
baking soda and vinegar drain cleaner,18,0.4,85.3,100.0,0.0,14.7,99.6
bamba peanut butter puffs,6,0.0,64.4,99.8,0.0,10.6,41.5
banana trees,17,0.0,64.8,99.9,0.0,20.2,96.9
basement finishing,17,48.6,90.0,100.0,0.0,10.0,51.4
basil herb,17,0.0,89.2,100.0,0.0,5.2,73.1
basketball shorts,4,0.0,30.7,86.8,0.0,19.3,77.1
bath and body works halloween,11,0.0,72.6,100.0,0.0,12.0,63.5
bath mat,9,0.0,68.0,100.0,0.0,7.0,37.8
bathroom counter storage,10,0.0,58.7,100.0,0.0,7.9,62.3
bathroom sink drain stopper,9,0.0,36.8,99.8,0.0,27.5,95.9
battery jump starter,11,0.0,60.5,99.9,0.0,31.2,95.8
battery powered lawn mower reviews,15,58.6,92.5,99.8,0.2,7.5,41.4
beach home,12,0.0,62.8,100.0,0.0,12.2,99.9
beacon orthopaedics & sports medicine,8,0.0,57.4,100.0,0.0,4.2,28.2
beadboard wainscoting,11,0.0,81.1,100.0,0.0,3.5,20.7
bedroom closet closet ideas,14,86.6,97.7,100.0,0.0,2.3,13.4
bedspreads queen,7,0.0,38.1,100.0,0.0,15.8,92.7
bee and wasp stings,19,27.2,77.8,99.8,0.2,22.2,72.8
begonia rex,17,0.0,76.7,99.7,0.0,17.7,72.5
behind closed doors,8,0.0,52.8,99.2,0.0,8.8,75.2
bell's palsy causes,18,54.6,84.7,99.9,0.1,15.3,45.4
benadryl dosage for dogs,20,23.8,83.6,100.0,0.0,16.4,76.2
benefits of almond milk,19,46.3,92.0,100.0,0.0,8.0,53.7
benefits of green beans,19,3.3,82.0,100.0,0.0,18.0,96.7
benefits of sweet potatoes,20,57.0,91.6,100.0,0.0,8.4,43.0
bentgo,7,0.0,37.2,98.9,0.0,26.5,99.6
berry plastics,12,43.2,85.0,99.9,0.1,15.0,56.8
